Panel,File_Identification,Schedule,Quarter,Visit,Sector,State_UT_Code,District_Code,NSS_Region,Stratum,Sub_Stratum,Sub_Sample,FOD_Sub_Region,FSU,Sample_Sg_Sb_No,Second_Stage_Stratum_No,Sample_Household_Number,Person_Serial_No,Relationship_To_Head,Sex,Age,Marital_Status,General_Education_Level,Technical_Education_Level,Years_Formal_Education,Current_Attendance_Status,Vocational_Training,Training_Completed_365_Days,Field_Of_Training,Duration_Of_Training,Type_Of_Training,Training_Funding_Source,Principal_Status_Code,Principal_Industry_Code,Principal_Occupation_Code,Subsidiary_Work_Engagement,Principal_Workplace_Location,Principal_Enterprise_Type,Principal_Workers_Count,Principal_Job_Contract_Type,Principal_Paid_Leave,Principal_Social_Security,Principal_Product_Usage,Subsidiary_Status_Code,Subsidiary_Industry_Code,Subsidiary_Occupation_Code,Subsidiary_Workplace_Location,Subsidiary_Enterprise_Type,Subsidiary_Workers_Count,Subsidiary_Job_Contract_Type,Subsidiary_Paid_Leave,Subsidiary_Social_Security,Subsidiary_Product_Usage,Ever_Worked_365_Days,Principal_Duration,Subsidiary_Duration,Work_Search_Efforts,Unemployment_Duration,Ever_Worked,Reason_Not_Working,Main_Reason_Principal_Status,Day7_Act1_Status_Code,Day7_Act1_Industry_Code,Day7_Act1_Hours,Day7_Act1_Wage,Day7_Act2_Status_Code,Day7_Act2_Industry_Code,Day7_Act2_Hours,Day7_Act2_Wage,Day7_Total_Hours,Day7_Additional_Work_Hours,Day6_Act1_Status_Code,Day6_Act1_Industry_Code,Day6_Act1_Hours,Day6_Act1_Wage,Day6_Act2_Status_Code,Day6_Act2_Industry_Code,Day6_Act2_Hours,Day6_Act2_Wage,Day6_Total_Hours,Day6_Additional_Work_Hours,Day5_Act1_Status_Code,Day5_Act1_Industry_Code,Day5_Act1_Hours,Day5_Act1_Wage,Day5_Act2_Status_Code,Day5_Act2_Industry_Code,Day5_Act2_Hours,Day5_Act2_Wage,Day5_Total_Hours,Day5_Additional_Work_Hours,Day4_Act1_Status_Code,Day4_Act1_Industry_Code,Day4_Act1_Hours,Day4_Act1_Wage,Day4_Act2_Status_Code,Day4_Act2_Industry_Code,Day4_Act2_Hours,Day4_Act2_Wage,Day4_Total_Hours,Day4_Additional_Work_Hours,Day3_Act1_Status_Code,Day3_Act1_Industry_Code,Day3_Act1_Hours,Day3_Act1_Wage,Day3_Act2_Status_Code,Day3_Act2_Industry_Code,Day3_Act2_Hours,Day3_Act2_Wage,Day3_Total_Hours,Day3_Additional_Work_Hours,Day2_Act1_Status_Code,Day2_Act1_Industry_Code,Day2_Act1_Hours,Day2_Act1_Wage,Day2_Act2_Status_Code,Day2_Act2_Industry_Code,Day2_Act2_Hours,Day2_Act2_Wage,Day2_Total_Hours,Day2_Additional_Work_Hours,Day1_Act1_Status_Code,Day1_Act1_Industry_Code,Day1_Act1_Hours,Day1_Act1_Wage,Day1_Act2_Status_Code,Day1_Act2_Industry_Code,Day1_Act2_Hours,Day1_Act2_Wage,Day1_Total_Hours,Day1_Additional_Work_Hours,CWS_Status_Code,CWS_Industry_Code,CWS_Occupation_Code,CWS_Earnings_Salaried,CWS_Earnings_SelfEmployed,Ns_Count_Sector_Stratum_Substratum_Subsample,Ns_Count_Sector_Stratum_Substratum,Subsample_Multiplier,State_Sector_Stratum_Substra
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,01,05,7,2,50,2,01,01,0,,6,,,,,,21,01272,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,21,01, 8,    0,,, 0,    0, 8, 0,21,01,6,0,,,0,0,6,0,21,01,8,0,,,0,0,8,0,21,01,7,0,,,0,0,7,0,21,01,6,0,,,0,0,6,0,21,01,8,0,,,0,0,8,0,62,01,8,0,,,0,0,0,0,21,01,611,0,0,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,02,01,1,1,52,2,01,01,0,,6,,,,,,11,01286,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,11,01, 8,    0,,, 0,    0, 8, 0,11,01,7,0,,,0,0,7,0,11,01,9,0,,,0,0,9,0,11,01,8,0,,,0,0,8,0,11,01,7,0,,,0,0,7,0,62,01,8,0,,,0,0,0,0,11,01,8,0,,,0,0,8,0,11,01,611,0,18000,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,02,03,5,1,22,1,10,01,12,12,6,,,,,,21,01286,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,21,01, 8,    0,,, 0,    0, 8, 0,21,01,7,0,,,0,0,7,0,21,01,6,0,,,0,0,6,0,21,01,9,0,,,0,0,9,0,62,01,8,0,,,0,0,0,0,21,01,7,0,,,0,0,7,0,21,01,8,0,,,0,0,8,0,21,01,611,0,0,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,02,04,5,1,18,1,07,01,9,12,6,,,,,,11,01441,612,2,11,01,1,,,,3,,,,,,,,,,,1,5,,,,,,,11,01, 8,    0,,, 0,    0, 8, 0,11,01,9,0,,,0,0,9,0,11,01,8,0,,,0,0,8,0,11,01,7,0,,,0,0,7,0,11,01,8,0,,,0,0,8,0,11,01,7,0,,,0,0,7,0,11,01,8,0,,,0,0,8,0,11,01,612,0,8500,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,02,05,5,1,12,1,06,01,6,25,6,,,,,,91,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,4,91,, 0,    0,,, 0,    0, 0, 0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,,0,0,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,02,02,2,2,43,2,01,01,0,,6,,,,,,21,01286,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,21,01, 8,    0,,, 0,    0, 8, 0,21,01,7,0,,,0,0,7,0,21,01,8,0,,,0,0,8,0,21,01,6,0,,,0,0,6,0,21,01,9,0,,,0,0,9,0,62,01,8,0,,,0,0,0,0,21,01,8,0,,,0,0,8,0,21,01,611,0,0,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,02,06,7,2,70,3,01,01,0,,,,,,,,92,,,2,,,,,,,,,,,,,,,,,,,,,,,1,08,3,92,, 0,    0,,, 0,    0, 0, 0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,,0,0,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,03,01,1,1,45,2,08,01,10,,6,,,,,,11,01286,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,11,01, 8,    0,,, 0,    0, 8, 0,11,01,6,0,,,0,0,6,0,11,01,7,0,,,0,0,7,0,11,01,8,0,,,0,0,8,0,62,01,8,0,,,0,0,0,0,11,01,9,0,,,0,0,9,0,11,01,8,0,,,0,0,8,0,11,01,611,0,9500,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,03,02,2,2,38,2,01,01,0,,6,,,,,,21,01286,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,21,01, 6,    0,,, 0,    0, 6, 0,21,01,7,0,,,0,0,7,0,21,01,8,0,,,0,0,8,0,21,01,9,0,,,0,0,9,0,62,01,8,0,,,0,0,0,0,21,01,8,0,,,0,0,8,0,21,01,8,0,,,0,0,8,0,21,01,611,0,0,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,04,01,1,1,32,2,08,01,10,,6,,,,,,11,01272,611,1,,01,1,,,,3,11,49229,832,19,01,1,,,,,1,5,5,,,,,,11,01, 8,    0,11,49, 2,    0,10, 0,11,01,7,0,,,0,0,7,0,11,01,5,0,11,49,5,0,10,0,11,01,9,0,,,0,0,9,0,11,01,7,0,11,49,3,0,10,0,62,01,8,0,11,49,8,0,8,0,11,01,9,0,,,0,0,9,0,11,01,611,0,16000,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,04,03,5,1,4,1,01,01,0,23,,,,,,,99,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,99,, 0,    0,,, 0,    0, 0, 0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,,0,0,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,04,02,2,2,27,2,01,01,0,12,6,,,,,,21,01272,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,21,01, 6,    0,,, 0,    0, 6, 0,21,01,7,0,,,0,0,7,0,21,01,8,0,,,0,0,8,0,21,01,9,0,,,0,0,9,0,62,01,8,0,,,0,0,0,0,21,01,8,0,,,0,0,8,0,21,01,7,0,,,0,0,7,0,21,01,611,0,0,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,04,04,5,2,6,1,05,01,1,24,,,,,,,91,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,4,91,, 0,    0,,, 0,    0, 0, 0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,,0,0,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,04,05,5,2,2,1,01,01,0,05,,,,,,,99,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,99,, 0,    0,,, 0,    0, 0, 0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,,0,0,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,04,06,7,2,50,3,01,01,0,,6,,,,,,92,,,2,,,,,,,,,,,,,,,,,,,,,,,1,08,3,92,, 0,    0,,, 0,    0, 0, 0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,,0,0,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,3,01,01,1,1,33,2,01,01,0,,6,,,,,,11,01272,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,11,01, 8,    0,,, 0,    0, 8, 0,11,01,7,0,,,0,0,7,0,11,01,6,0,,,0,0,6,0,11,01,9,0,,,0,0,9,0,62,01,8,0,,,0,0,0,0,11,01,9,0,,,0,0,9,0,11,01,7,0,,,0,0,7,0,11,01,611,0,12000,1,2,9233553,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,3,01,03,5,1,8,1,05,01,3,24,,,,,,,91,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,4,91,, 0,    0,,, 0,    0, 0, 0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,,0,0,1,2,9233553,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,3,01,02,2,2,28,2,01,01,0,12,6,,,,,,21,01272,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,21,01, 8,    0,,, 0,    0, 8, 0,21,01,7,0,,,0,0,7,0,21,01,9,0,,,0,0,9,0,21,01,8,0,,,0,0,8,0,21,01,9,0,,,0,0,9,0,62,01,8,0,,,0,0,0,0,21,01,8,0,,,0,0,8,0,21,01,611,0,0,1,2,9233553,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,3,01,04,5,2,10,1,06,01,5,25,,,,,,,91,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,4,91,, 0,    0,,, 0,    0, 0, 0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,,0,0,1,2,9233553,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,3,02,01,1,1,57,2,01,01,0,,6,,,,,,11,01272,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,11,01, 8,    0,,, 0,    0, 8, 0,11,01,9,0,,,0,0,9,0,11,01,7,0,,,0,0,7,0,11,01,8,0,,,0,0,8,0,62,01,8,0,,,0,0,0,0,11,01,8,0,,,0,0,8,0,11,01,7,0,,,0,0,7,0,11,01,611,0,16000,1,2,9233553,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,3,02,03,3,1,30,2,01,01,0,,6,,,,,,21,01272,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,21,01, 8,    0,,, 0,    0, 8, 0,21,01,7,0,,,0,0,7,0,21,01,8,0,,,0,0,8,0,62,01,8,0,,,0,0,0,0,21,01,7,0,,,0,0,7,0,21,01,9,0,,,0,0,9,0,21,01,6,0,,,0,0,6,0,21,01,611,0,0,1,2,9233553,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,3,02,05,3,1,28,2,01,01,0,12,6,,,,,,11,01441,612,2,11,01,1,,,,3,,,,,,,,,,,1,5,,,,,,,11,01, 8,    0,,, 0,    0, 8, 0,11,01,7,0,,,0,0,7,0,11,01,8,0,,,0,0,8,0,11,01,9,0,,,0,0,9,0,11,01,8,0,,,0,0,8,0,11,01,6,0,,,0,0,6,0,62,01,8,0,,,0,0,0,0,11,01,612,0,9000,1,2,9233553,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,3,02,02,2,2,50,2,01,01,0,,6,,,,,,21,01272,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,21,01, 8,    0,,, 0,    0, 8, 0,21,01,7,0,,,0,0,7,0,21,01,6,0,,,0,0,6,0,21,01,8,0,,,0,0,8,0,21,01,8,0,,,0,0,8,0,21,01,8,0,,,0,0,8,0,21,01,7,0,,,0,0,7,0,21,01,611,0,0,1,2,9233553,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,3,02,04,4,2,23,2,05,01,3,12,6,,,,,,21,01272,611,2,,01,1,,,,3,,,,,,,,,,,1,5,,,,,,,21,01, 8,    0,,, 0,    0, 8, 0,21,01,7,0,,,0,0,7,0,21,01,6,0,,,0,0,6,0,21,01,7,0,,,0,0,7,0,21,01,8,0,,,0,0,8,0,21,01,7,0,,,0,0,7,0,21,01,9,0,,,0,0,9,0,21,01,611,0,0,1,2,9233553,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,3,02,06,4,2,22,2,07,01,8,14,6,,,,,,92,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,9,92,, 0,    0,,, 0,    0, 0, 0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,,0,0,1,2,9233553,4
P4,CFVP4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,1,01,01,1,1,62,2,01,01,0,,,,,,,,81,,,2,,,,,,,,,,,,,,,,,,,,,7,5,2,,,92,, 0,    0,,, 0,    0, 0, 0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,,0,0,1,2,5535480,4
P4,CFVP4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,1,01,03,3,1,33,2,12,01,15,,6,,,,,,31,33140,741,2,16,01,1,1,2,8,,,,,,,,,,,,1,5,,,,,,,31,33, 9,    0,,, 0,    0, 9, 0,31,33,9,0,,,0,0,9,0,31,33,9,0,,,0,0,9,0,31,33,9,0,,,0,0,9,0,31,33,9,0,,,0,0,9,0,31,33,9,0,,,0,0,9,0,31,33,9,0,,,0,0,9,0,31,33,741,20000,0,1,2,5535480,4
P4,CFVP4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,1,01,05,3,1,38,2,10,01,12,,6,,,,,,11,46419,112,2,24,01,1,,,,,,,,,,,,,,,1,5,,,,,,,11,46, 9,    0,,, 0,    0, 9, 0,11,46,9,0,,,0,0,9,0,11,46,9,0,,,0,0,9,0,11,46,9,0,,,0,0,9,0,11,46,9,0,,,0,0,9,0,11,46,9,0,,,0,0,9,0,11,46,9,0,,,0,0,9,0,11,46,112,0,33000,1,2,5535480,4
P4,CFVP4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,1,01,07,6,1,1,1,01,01,0,05,,,,,,,99,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,99,, 0,    0,,, 0,    0, 0, 0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,0,0,,,0,0,0,0,99,,,0,0,1,2,5535480,4
P4,CFVP4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,1,01,02,2,2,57,2,01,01,0,,6,,,,,,92,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,9,92,, 0,    0,,, 0,    0, 0, 0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,,0,0,1,2,5535480,4
P4,CFVP4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,1,01,04,4,2,24,2,10,01,12,15,6,,,,,,92,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,9,92,, 0,    0,,, 0,    0, 0, 0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,,0,0,1,2,5535480,4
